Fullname,Nickname,formationDate,fundation,status
Camaçari Futebol Clube,-,1968-11-08,1968-11-08,Found
-,-,-,-,NotFound
Grêmio Atlético Sampaio,Leão Dourado,1965-06-11,1965-06-11,Found
Sport Club Gaúcho,O mais querido da cidade,1918-05-12,1918-05-12,Found
-,-,-,-,Found
Horizonte Futebol Clube,Galo do Tabuleiro,2004-03-27,2004-03-27,Found
Esporte Clube Macapá,Leão,1941-09-07,1941-09-07,Found
-,-,-,-,NotFound
Petrolina Social Futebol Clube,Fera Sertaneja,1998-11-11,1998-11-11,Found
Sport Club Santa Cruz,Tricolor do Trairi,2003-11-30,2003-11-30,Found
Esporte Clube São Luiz,Rubro,1938-02-20,1938-02-20,Found
Centro Educativo Recreativo Associação Atlética São Mateus,Gigante do Norte,1963-12-13,1963-12-13,Found
Toledo Esporte Clube,TEC,2004-02-10,2004-02-10,Found
Abaeté Futebol Clube,-,1936-03-05,1936-03-05,Found
Associação Desportiva Atlética do Paraná,-,-,1999,Found
Associação Desportiva Senador Guiomard,Leão do Quinari,1982-01-26,1982-01-26,Found
Associação Atlética Alvorada,Águia do Norte,-,-,Found
-,-,-,-,SyxtaxError
-,-,-,-,SyxtaxError
Sociedade Esportiva Ariquemes,Auriverde do Vale do Jamari,1981-04-11,1981-04-11,Found
-,-,-,-,NotFound
-,-,-,-,NotFound
Barra Mansa Futebol Clube,BMFC,1908-11-15,1908-11-15,Found
-,-,-,-,NotFound
Bayer Esporte Clube,-,1962-06-01,1962-06-01,Found
-,-,-,-,NotFound
Cacerense Esporte Clube,Fera da Fronteira,2005-07-05,2005-07-05,Found
Cachoeiro Futebol Clube,Alvirrubro,1916-01-09,1916-01-09,Found
Caldas Esporte Clube,-,1982-04-18,1982-04-18,Found
Caxias Futebol Clube,Gualicho,1920-10-12,1920-10-12,Found
Centro Limoeirense de Futebol,O Mais Querido,1913-09-15,1913-09-15,Found
-,-,-,-,Found
-,-,-,-,Found
Sociedade Esportiva e,Tricolor,1981-08-28,1981-08-28,Found
-,-,-,-,NotFound
Esporte Clube Corinthians,Corintinha,1945-02-08,1945-02-08,Found
-,-,-,-,NotFound
Coxim Atlético Clube,CAC,2002-01-10,2002-01-10,Found
-,-,-,-,NotFound
-,-,-,-,SyxtaxError
-,-,-,-,NotFound
Fabril Esporte Clube,Falcão da Zona Norte,1932-09-02,1932-09-02,Found
Associação Desportiva Guarabira,Guarabira,2005-05-02,2005-05-02,Found
Sport Club Guarany,Rei da Campanha,1913-09-20,1913-09-20,Found
Holanda Esporte Clube,Time  Laranja,2007-10-21,1984-10-24,Found
Associação Atlética Iguaçu,Pantera do Vale,1971-08-15,1971-08-15,Found
Itacuruba Sport Club,Papão,1987-08-02,1987-08-02,Found
Associação Jaguaré Esporte Clube,Tricolor do Norte,2001-12-05,2001-12-05,Found
-,-,-,-,NotFound
-,-,-,-,NotFound
Sociedade Esportiva e Recreativa Juventude,-,1982-05-23,1982-05-23,Found
Atlético Clube Lagartense,Verdão,1992-08-11,1992-08-11,Found
-,-,-,-,Found
-,-,-,-,Found
Associação Desportiva Limoeiro Futebol Clube,Jaguar do Vale,2001-02-01,2001-02-01,Found
Linhares Esporte Clube,Coruja Azul,1991-03-15,1991-03-15,Found
Esporte Clube Mamoré,Sapo,1949-06-13,1949-06-13,Found
Manchete Futebol Clube do Recife,Colorado,1950-01-01,1950-01-01,Found
Mineiros Esporte Clube,Águia do Vale,1977-01-20,1977-01-20,Found
-,-,-,-,Found
Novo Horizonte Futebol Clube,Zonte,1968-02-27,1968-02-27,Found
Olímpia Futebol Clube,OFC,1946-12-05,1946-12-05,Found
-,-,-,-,NotFound
-,-,-,-,NotFound
Paraíso Esporte Clube,Touro Forte,1992-07-13,1992-07-13,Found
Paranoá Esporte Clube,-,2000-04-30,2000-04-30,Found
Esporte Clube Passo Fundo,O clube que nasceu campeão&#39;,1986-01-10,1986-01-10,Found
Sociedade Esportiva Pauferrense,Gavião do Oeste,1995-05-01,1995-05-01,Found
Paulistano Futebol Clube,-,1982-08-07,1982-08-07,Found
Pedrabranca Futebol Clube,-,2001-04-09,--08-08,Found
Olímpico Pirambu Futebol Clube,Time da Calcinha Preta,1931-09-04,1931-09-04,Found
Serrano Sport Club,Raposa do Agreste,1985-01-08,1985-01-08,Found
Quixadá Futebol Clube,Canarinho do Sertão,1965-10-27,1965-10-27,Found
-,-,-,-,NotFound
Rio Claro Futebol Clube,Aguinha,1909-05-09,1909-05-09,Found
-,-,-,-,NotFound
-,-,-,-,NotFound
Esporte Clube Rio Verde,Verdão,1963-08-22,1963-08-22,Found
Associação Atlética Rioverdense,Tricolor do Cerrado,1985-04-12,1985-04-12,Found
Roma Esporte de Apucarana S/A Ltda.,Tricolor,-,2000,Found
Santa Cruz Recreativo Esporte Clube,Santa Cruz de Santa Rita,1939-04-15,1939-04-15,Found
Santa Rosa Esporte Clube,Pantera da Vila,1924-01-06,1924-01-06,Found
-,-,-,-,NotFound
Grêmio Esportivo Sãocarlense,Lobo da Central,1976-03-19,1976-03-19,Found
São Cristóvão de Futebol e Regatas,Tóvão,1898-10-12,1898-10-12,Found
São Gabriel Futebol Clube,-,-,2000,Found
Sociedade Esportiva e Recreativa São José,O mais querido,1946-08-26,1946-08-26,Found
-,-,-,-,Found
-,-,-,-,Found
Social Futebol Clube,Saci de Aço,1944-10-01,1944-10-01,Found
-,-,-,-,NotFound
-,-,-,-,NotFound
Sport Club Ulbra Ji-Paraná,Coruja,2005-04-01,2005-04-01,Found
Unibol Pernambuco Futebol Clube,-,1996-09-16,1996-09-16,Found
-,-,-,-,Found
-,-,-,-,Found
Associação Atlética Aparecidense,Camaleão,1985-10-22,1985-10-22,Found
-,-,-,-,NotFound
Goianésia Esporte Clube,Azulão do Vale,1955-03-28,1955-03-28,Found
Sinop Futebol Clube,Galo do Norte,1977-01-16,1977-01-16,Found
Associação Desportiva Bahia de Feira,Tremendão,1937-07-02,1937-07-02,Found
Maringá Futebol Clube,Zebra and Tricolor,-,2010,Found
Murici Futebol Clube,Verdão,1974-09-07,1974-09-07,Found
Náutico Futebol Clube,Clube Simpatia de Roraima,1962-12-22,1962-12-22,Found
-,-,-,-,Found
Espírito Santo Futebol Clube,Santão,2006-08-06,2006-08-06,Found
Auritânia Foz do Iguaçu Futebol Clube,O Azulão da Fronteira,1996-02-09,1996-02-09,Found
-,-,-,-,Found
Interporto Futebol Clube,-,1990-07-13,1990-07-13,Found
Plácido de Castro Futebol Club,Tigre do Abunã,1979-11-03,1979-11-03,Found
-,-,-,-,NotFound
Clube Atlético Tubarão,Furacão do Sul,2005-04-14,2005-04-14,Found
Galvez Esporte Clube,Time Militar,2011-07-03,2011-07-03,Found
