Fase,Data,Horário,Mandante,Visitante,Mandante Placar,Visitante Placar
QF,1966-10-19,,Palmeiras,Náutico,0,0
QF,1966-10-23,,Cruzeiro,Grêmio,2,1
QF,1966-10-26,,Náutico,Palmeiras,0,0
QF,1966-10-28,,Náutico,Palmeiras,3,0
SF,1966-11-09,,Náutico,Santos,0,2
SF,1966-11-09,,Cruzeiro,Fluminense,1,0
SF,1966-11-17,,Santos,Náutico,3,5
SF,1966-11-19,,Santos,Náutico,4,1
SF,1966-11-23,,Fluminense,Cruzeiro,1,3
F,1966-11-30,,Cruzeiro,Santos,6,2
F,1966-12-07,,Santos,Cruzeiro,2,3
1/8,1967-11-15,16:35,Atlético Mineiro,Botafogo,1,1
Grp.D,1967-11-19,16:00,Grêmio,Perdigão-SC,8,0
QF,1967-11-22,21:25,Náutico,Atlético Mineiro,3,0
QF,1967-11-29,21:40,Atlético Mineiro,Náutico,2,0
QF,1967-12-01,21:05,Atlético Mineiro,Náutico,2,2
SF,1967-12-06,21:25,Grêmio,Palmeiras,2,1
SF,1967-12-06,21:35,Cruzeiro,Náutico,2,1
SF,1967-12-13,21:30,Palmeiras,Grêmio,3,1
SF,1967-12-13,21:40,Náutico,Cruzeiro,3,0
SF,1967-12-15,,Palmeiras,Grêmio,2,1
SF,1967-12-15,,Náutico,Cruzeiro,0,0
F,1967-12-20,21:00,Náutico,Palmeiras,1,3
F,1967-12-27,21:00,Palmeiras,Náutico,1,2
F,1967-12-29,21:00,Palmeiras,Náutico,2,0
Grp.B,1968-08-04,,Piauí,América-RN,2,0
Grp.D,1968-08-04,,Operário-MT,Atlético Goianiense,1,0
Grp.E,1968-08-04,,Água Verde-PR,Grêmio,0,0
Grp.A,1968-08-04,,Olímpico Clube,Paysandu,1,1
Grp.C,1968-08-04,,CSA,Sergipe,1,0
Grp.C,1968-08-11,,Sergipe,CSA,2,2
Grp.D,1968-08-11,,Rabello-DF,Operário-MT,2,1
Grp.E,1968-08-11,,Metropol,Grêmio,0,0
Grp.B,1968-08-11,,América-RN,Piauí,0,1
Grp.A,1968-08-11,,Paysandu,Olímpico Clube,6,0
Grp.D,1968-08-14,,Operário-MT,Rabello-DF,3,2
Grp.E,1968-08-14,,Água Verde-PR,Metropol,1,1
Grp.B,1968-08-14,,Campinense,Piauí,0,1
Grp.A,1968-08-15,,Moto Club,Olímpico Clube,2,1
Grp.C,1968-08-15,,Bahia,CSA,2,0
Grp.C,1968-08-18,,Sergipe,Bahia,1,1
Grp.B,1968-08-18,,Campinense,América-RN,1,2
Grp.A,1968-08-18,,Moto Club,Paysandu,3,1
Grp.E,1968-08-18,,Metropol,Água Verde-PR,4,0
1E,1968-08-18,,Desportiva Ferroviária,Goytacaz,0,0
Grp.D,1968-08-18,,Atlético Goianiense,Operário-MT,5,0
Grp.C,1968-08-20,,CSA,Bahia,2,3
Grp.A,1968-08-21,,Paysandu,Moto Club,0,2
Grp.D,1968-08-21,,Rabello-DF,Atlético Goianiense,0,1
Grp.E,1968-08-21,,Grêmio,Água Verde-PR,2,0
Grp.B,1968-08-21,,América-RN,Campinense,0,0
Grp.C,1968-08-25,,Bahia,Sergipe,3,0
Grp.D,1968-08-25,,Atlético Goianiense,Rabello-DF,2,2
Grp.E,1968-08-25,,Grêmio,Metropol,0,0
Grp.B,1968-08-25,,Piauí,Campinense,1,0
Grp.A,1968-08-25,,Olímpico Clube,Moto Club,1,0
1E,1968-08-25,,Goytacaz,Desportiva Ferroviária,2,1
1E,1968-09-01,,Moto Club,Piauí,2,1
1E,1968-09-08,,Piauí,Moto Club,1,1
1/8,1968-11-10,,Goytacaz,Atlético Goianiense,2,0
1/8,1968-11-17,,Atlético Goianiense,Goytacaz,2,1
1/8,1968-11-19,,Atlético Goianiense,Goytacaz,2,0
QF,1968-12-05,,Botafogo,Metropol,6,1
QF,1968-12-08,,Metropol,Botafogo,1,0
1/8,1969-01-19,,Bahia,Moto Club,5,0
1/8,1969-01-21,,Moto Club,Bahia,0,1
QF,1969-02-02,,Bahia,Fortaleza,1,0
QF,1969-02-02,,Atlético Goianiense,Cruzeiro,1,2
QF,1969-02-09,,Fortaleza,Bahia,1,0
QF,1969-02-09,,Cruzeiro,Atlético Goianiense,6,1
QF,1969-02-11,,Fortaleza,Bahia,2,1
QF,1969-04-02,,Botafogo,Metropol,1,0
SF,1969-08-23,,Cruzeiro,Botafogo,0,1
SF,1969-08-24,,Fortaleza,Náutico,2,1
SF,1969-08-27,,Náutico,Fortaleza,2,1
SF,1969-08-27,,Botafogo,Cruzeiro,1,1
SF,1969-08-29,,Náutico,Fortaleza,0,1
F,1969-09-03,,Fortaleza,Botafogo,2,2
F,1969-10-04,,Botafogo,Fortaleza,4,0
