UF,Clube,Cidade,Série A,R,Série B,P,R,Série C,P,R,Série D,P
DF,CFZ-DF,Brasília,0,–,0,–,–,3,–,–,0,–
PI,Corisabbá,Floriano,0,–,0,–,–,3,–,–,0,–
SP,Nacional-SP,São Paulo,0,–,0,–,–,3,–,–,0,–
PR,Paranavaí,Paranavaí,0,–,0,–,–,3,–,–,0,–
DF,Real Brasília [REA],Núcleo Bandeirante,0,–,0,–,–,3,–,–,0,–
PA,São Raimundo-PA,Santarém,0,–,0,–,–,2,–,1,6,1
PR,Cianorte,Cianorte,0,–,0,–,–,2,–,–,5,–
RN,Globo,Ceará-Mirim,0,–,0,–,–,2,–,1,5,1
RO,Genus [GEN],Porto Velho,0,–,0,–,–,2,–,–,5,–
RJ,Portuguesa-RJ,Rio de Janeiro,0,–,0,–,–,2,–,–,4,–
MS,Águia Negra,Rio Brilhante,0,–,0,–,–,2,–,–,3,–
BA,Jacuipense,Riachão do Jacuípe,0,–,0,–,–,2,–,–,3,1
AM,Manaus,Manaus,0,–,0,–,–,2,–,–,2,1
PE,Ypiranga-PE,Santa Cruz do Capibaribe,0,–,0,–,–,2,–,–,2,–
PA,Castanhal,Castanhal,0,–,0,–,–,2,–,–,1,–
SC,Juventus de Jaraguá,Jaraguá do Sul,0,–,0,–,–,2,–,–,1,–
RS,15 de Novembro †,Campo Bom,0,–,0,–,–,2,–,–,0,–
PR,ADAP/Galo Maringá †,Maringá,0,–,0,–,–,2,–,–,0,–
AP,Amapá,Macapá,0,–,0,–,–,2,–,–,0,–
PA,Ananindeua,Ananindeua,0,–,0,–,–,2,–,–,0,–
SC,Atlético de Ibirama,Ibirama,0,–,0,–,–,2,–,–,0,–
MA,Bacabal,Bacabal,0,–,0,–,–,2,–,–,0,–
PI,Barras †,Barras,0,–,0,–,–,2,–,–,0,–
PR,Batel,Guarapuava,0,–,0,–,–,2,–,–,0,–
MA,Caxiense †,Caxias,0,–,0,–,–,2,–,–,0,–
DF,Ceilandense,Ceilândia,0,–,0,–,–,2,–,–,0,–
RN,Corintians de Caicó †,Caicó,0,–,0,–,–,2,–,–,0,–
AM,Grêmio Coariense †,Coari,0,–,0,–,–,2,–,–,0,–
GO,Grêmio Anápolis,Anápolis,0,–,0,–,–,2,–,–,0,–
MT,Grêmio Jaciara †,Jaciara,0,–,0,–,–,2,–,–,0,–
BA,Ipitanga †,Lauro de Freitas,0,–,0,–,–,2,–,–,0,–
CE,Itapipoca,Itapipoca,0,–,0,–,–,2,–,–,0,–
PA,Izabelense,Santa Izabel do Pará,0,–,0,–,–,2,–,–,0,–
GO,Jataiense,Jataí,0,–,0,–,–,2,–,–,0,–
TO,Kaburé †,Colinas do Tocantins,0,–,0,–,–,2,–,–,0,–
ES,Linhares,Linhares,0,–,0,–,–,2,–,–,0,–
SE,Maruinense,Maruim,0,–,0,–,–,2,–,–,0,–
SP,Matonense,Matão,0,–,0,–,–,2,–,–,0,–
BA,Palmeiras do Nordeste †,Feira de Santana,0,–,0,–,–,2,–,–,0,–
DF,Planaltina,Planaltina,0,–,0,–,–,2,–,–,0,–
PR,Ponta Grossa †,Ponta Grossa,0,–,0,–,–,2,–,–,0,–
RR,Progresso,Mucajaí,0,–,0,–,–,2,–,–,0,–
MA,Santa Inês †,Santa Inês,0,–,0,–,–,2,–,–,0,–
RN,São Gonçalo-RN †,São Gonçalo do Amarante,0,–,0,–,–,2,–,–,0,–
SP,Sertãozinho,Sertãozinho,0,–,0,–,–,2,–,–,0,–
MS,Taveirópolis †,Campo Grande,0,–,0,–,–,2,–,–,0,–
TO,União Araguainense †,Araguaína,0,–,0,–,–,2,–,–,0,–
AC,Vasco-AC,Rio Branco,0,–,0,–,–,2,–,–,0,–
MA,Viana,Viana,0,–,0,–,–,2,–,–,0,–
